ITEM_ID,ITEM_NAME,VALUE,URL,DESCRIPTION,GROUP_NAME,SINGULAR
17,What’s Your Speed?,75000,temp.png,Remind drivers to slow down by deploying live speed displays on busiest streets.,"Streets, Sidewalks & Transit",1
18,Bike Signals at Busy Intersections,40000,temp.png,Navigating intersections can be confusing. Adding bike signals to busy intersections will help cyclists safely navigate intersections and make the roads more predictable and friendly for all.,"Streets, Sidewalks & Transit",1
19,We Need More Crosswalks,40000,temp.png,"To enhance pedestrian safety, this project will add a minimum of five new crosswalks to major streets.","Streets, Sidewalks & Transit",1
20,Hump Installationer for pedestrians.,66000,temp.png,"Speed humps create a safer environment by helping slow traffic on streets that students and families cross frequently. When a car hits a pedestrian at a high rate of speed, the collision is more likely to result in a pedestrian fatality. Speed humps slow vehicles and give drivers increased response time and distance for stopping. This makes streets safer for pedestrians.","Streets, Sidewalks & Transit",1
21,Planting trees in the city,119400,temp.png,"Street trees cool the city, absorb pollution, & make our neighborhoods more livable! planting 100 new trees & building tree wells in the areas that need them most.","Environment, public health & safety",1
22,24H public toilet,320000,temp.png,24-hour access public toilet near Central Square.,"Environment, public health & safety",1
23,5 Water Bottle Refill Stations,40000,temp.png,At a water bottle refill station you get a healthy drink for free.,"Environment, public health & safety",1
24,Prepared Food Rescue Freezer Van,48000,temp.png,"Let’s feed the hungry in our city. A freezer van is the vital piece of equipment that would allow to potentially double prepared food rescue deliveries from roughly 3,500 healthy frozen meals to 7,000 each week.","Environment, public health & safety",1
25,The Sustainable Energy Pilot,90000,temp.png,install energy conversion devices on gym equipment and a rapid electric vehicle charging station.,"Environment, public health & safety",1
26,Nursing Pod for Mothers and Infants,20000,temp.png,Provide an attractive private space where working mothers and community members can breastfeed or pump during the work day.,"Environment, public health & safety",1
27,Critical Resource Kits for the Homeless,50000,temp.png,"Deliver resource kits to homeless residents through established programs. These kits will provide supplies such as socks, feminine hygiene products, toiletries, first aid kits, and other items to most vulnerable population.","Environment, public health & safety",1
28,Flashing Crosswalks for Safer Streets,176000,temp.png,"This project would fund rapid flashing beacons at 10 high pedestrian risk crosswalks. These beacons increase the visibility of pedestrians, especially at night. They can alert drivers to crossing pedestrians, thereby preventing crashes.","Environment, public health & safety",0
29,Smarter Cleanup for a Smart Cityources.,80000,temp.png,"A cleaner, by way of hands-free, solar-powered BigBelly bins. The new, foot-pedal operated trash and recycling compactors can provide free local WiFi, cut carbon emissions, and conserve City resources.","Environment, public health & safety",1
30,Soak Up the Solar Power,250000,temp.png,"Free, clean, renewable energy! Let’s add solar panels to the Youth Center to reduce greenhouse gas emissions and save money on energy.","Environment, public health & safety",1
31,Fire Hydrant Markers,8000,temp.png,"Install high-visibility markers on fire hydrants around town to increase safety for all residents and reduce response time of the fire department by improving ease of locating hydrants in emergencies, at night, and in the snow.","Environment, public health & safety",1
32,Free Wifi in 6 Outdoor Public Spaces,42000,temp.png,Install special outdoor wifi access points to offer free public wifi in the public space.,"Facilities, parks & recreation",1
33,Outdoor Fitness Equipment in the public park,65000,temp.png,"Install outdoor body-weight fitness equipment for stretching, strength building, and plyometric exercises.","Facilities, parks & recreation",1
34,Dog Park,250000,temp.png,building a dog park.,"Facilities, parks & recreation",1
35,Building an amphitheater in the public park,350000,temp.png,"Build an amphitheater in the public park for outdoor performances, music, stories, and other cultural events that the whole community can enjoy.","Facilities, parks & recreation",1
36,Volleyball Court in the public park,61000,temp.png,Creating an outdoor volleyball court would be an exciting addition to the city. The court would have sand and a sturdy net for three-season usage.,"Facilities, parks & recreation",1
37,Inclusive Playground for All Kids,305000,temp.png,This Universal Design playground would include equipment that is designed to be usable by everyone without special adaptations or retrofitting.,"Facilities, parks & recreation",1
38,Remodel the Kitchen at the Youth Cente,200000,temp.png,"The kitchen area in the Youth Center is in dire need of renovating. Replace the stove, dishwasher, cabinets, and countertops in the Frisoli Youth Center kitchen.","Facilities, parks & recreation",1
39,Shade and Wet Weather Canopies for Playgrounds,146000,temp.png,Installing canopies over playgrounds that do not have protection from the elements will reduce weather-related safety concerns and increase playground availability and use.,"Facilities, parks & recreation",1
40,Let’s Rest: Picnic Tables & Benches for Our Parks,120000,temp.png,"Benches and picnic tables bring our community together. Installing new benches and picnic tables in up to 10 of our park will allow people of all ages and abilities to enjoy them for resting, talking, reading, people watching and being outdoors.","Facilities, parks & recreation",0
41,Protect the Health and Safety of our Firefighters ,110000,temp.png,"This proposal will purchase and install six gear drying units to shorten wait time for clean gear ($51,000), and eleven sets of wireless headsets to protect hearing and improve communication ($55,000). Let’s protect those who protect us.","Facilities, parks & recreation",1
42,New Chairs for Public Schools,190000,temp.png,New Chairs for Public Schools,Education,0
43,Invention and Production of Music,150000,temp.png,"Install music studios and equipment at the Youth Centers to inspire creativity, enable pre-teens and teens to express their skills and passions, and provide youth with another recreational outlet.",Education,1
44,Reduce rats by improving sanitation.,85000,temp.png,"Leverage local artists to develop an educational campaign about proper disposal of recyclables, trash and compost. This approach will decrease waste, reduce recycling/compost contamination and reduce rats by improving sanitation.",Education,1
45,Installing Lights at the school Basketball Court,250000,temp.png,Install lighting to extend safe playing hours for basketball courts. Increases safety for community members while expanding healthy alternatives for youth and access to public space.,Education,1
46,Recreation at our children’s schools,61000,temp.png,"Field construction, synthetic turf, goal posts & installation for 25’x70’ soccer field on east side of school.",Education,1
47,Upgraded Water Fountains for Public Schools,200000,temp.png,Project would install 35 new water bottle refilling fountains in public schools.,Education,0
48,Laptops for 10 Public Schools,350000,temp.png,Purchasing laptop carts for ten public schools.,Education,0
49,Bathroom Upgrades ,400000,temp.png,Upgrades to four bathrooms in elementary schools.,Education,0
50,New Playground for public school,200000,temp.png,"Playground should include a jungle gym, and other equipment for kids to play different games.",Education,0
51,Security Cameras,105000,temp.png,install security cameras in public schools.,Education,0
